Temperature,ADC count
-45,17577
-40,17969
-35,18358
-30,18748
-25,19149
-20,19536
-15,19928
-10,20356
-5,20741
0,21120
5,21558
10,21955
15,22358
20,22755
25,23172
30,23555
35,23983
40,24387
45,24774
50,25202
55,25611
60,26037
65,26393
70,26816
75,27232
80,27632
85,28053
90,28491
95,28897
100,29284
105,29689
110,30121
115,30534
120,30957
125,31377
130,31776
135,32180
140,32600
145,33039
150,33459
155,33847
